jobname,location,company,jobLink
Internship,"Jakarta, Jakarta, Indonesia",PT SANTOS JAYA ABADI (Kapal Api Global),https://id.linkedin.com/jobs/view/internship-at-pt-santos-jaya-abadi-kapal-api-global-4020870458?position=23&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=MbDnDlh48va6CWQUqaiBVQ%3D%3D
Business Analyst,Jakarta Metropolitan Area,Traveloka,https://id.linkedin.com/jobs/view/business-analyst-at-traveloka-3983489828?position=24&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=IHRg7ZxDrC9FEZbAMp7aoA%3D%3D
Manufacturing Excellence and Industrial System Development Analyst,"Jakarta, Jakarta, Indonesia",PT ASTRA OTOPARTS Tbk,https://id.linkedin.com/jobs/view/manufacturing-excellence-and-industrial-system-development-analyst-at-pt-astra-otoparts-tbk-4014375840?position=25&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=aGpenW4Hhk%2FrPWZh5BH%2BAQ%3D%3D
Business Development Officer,"Jakarta, Indonesia",PT Asuransi BRI Life,https://id.linkedin.com/jobs/view/business-development-officer-at-pt-asuransi-bri-life-4033868086?position=26&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=aNZWCI6c9GpFYitljKMwqw%3D%3D
Data Quality Analyst,"Jakarta, Indonesia",Astra Financial,https://id.linkedin.com/jobs/view/data-quality-analyst-at-astra-financial-4014520914?position=27&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=x%2BU6c3ECnWEA6iIEZZPNAg%3D%3D
Data Analyst,Jakarta Metropolitan Area,Traveloka,https://id.linkedin.com/jobs/view/data-analyst-at-traveloka-4033935490?position=28&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=fG0mdaXBbSnl8IO7vj%2B%2BDw%3D%3D
Business Process Analyst,"West Jakarta, Jakarta, Indonesia",Dekoruma,https://id.linkedin.com/jobs/view/business-process-analyst-at-dekoruma-4016869544?position=29&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=rE0wILPAawYVzzs78zpPcg%3D%3D
Data Operations Analyst,"Jakarta, Indonesia",Igloo,https://id.linkedin.com/jobs/view/data-operations-analyst-at-igloo-4026913597?position=30&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=NMurSylFY15BeHNCfh8qaQ%3D%3D
Consumer Relationship Officer (Jakarta),"Jakarta, Indonesia","PT Bank Danamon Indonesia, Tbk.",https://id.linkedin.com/jobs/view/consumer-relationship-officer-jakarta-at-pt-bank-danamon-indonesia-tbk-4033841652?position=31&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=lDJ1oWUpqkPEsuSPawwwjQ%3D%3D
ACCOUNT PAYABLE STAFF,Jakarta Metropolitan Area,PT Saptaindra Sejati (Adaro Energy),https://id.linkedin.com/jobs/view/account-payable-staff-at-pt-saptaindra-sejati-adaro-energy-4027191636?position=32&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=1Xf7fWYZmkBzlO5zadZA1w%3D%3D
Business Analyst,Jakarta Metropolitan Area,Traveloka,https://id.linkedin.com/jobs/view/business-analyst-at-traveloka-4025158530?position=33&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=y8bake79JL0weu7UPL30Nw%3D%3D
Junior Data Analyst,"Jakarta, Jakarta, Indonesia",Amar Bank,https://id.linkedin.com/jobs/view/junior-data-analyst-at-amar-bank-3861732904?position=34&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=qi8v%2F%2F4XIYzfaoMMqtmIzw%3D%3D
Management Reporting Specialist,"Jakarta, Indonesia",OCBC Indonesia,https://id.linkedin.com/jobs/view/management-reporting-specialist-at-ocbc-indonesia-4028085747?position=35&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=lBjd7BVs6FTC6vDm2DlSOQ%3D%3D
Product Analyst,"Jakarta, Jakarta, Indonesia",Astra Financial,https://id.linkedin.com/jobs/view/product-analyst-at-astra-financial-4026518745?position=36&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=CdjmWHKYY8GUEyEHXhTZYA%3D%3D
Leadership Acceleration Program (LEAP) 2025,"Jakarta, Indonesia",Great Giant Foods,https://id.linkedin.com/jobs/view/leadership-acceleration-program-leap-2025-at-great-giant-foods-4025782836?position=37&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=PXNTL5tU3T%2BsLlpSQ9KE2A%3D%3D
Investment Analyst,"Jakarta, Jakarta, Indonesia",PT Lion Super Indo,https://id.linkedin.com/jobs/view/investment-analyst-at-pt-lion-super-indo-4025871712?position=38&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=BhZsH1mn1C7pUE56snWBnQ%3D%3D
Data Scientist,"Tangerang, Banten, Indonesia",OCBC Indonesia,https://id.linkedin.com/jobs/view/data-scientist-at-ocbc-indonesia-4032857689?position=39&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=MTzwPL2jhAbL38oC3L2%2Few%3D%3D
Data Analyst,"Jakarta, Jakarta, Indonesia",Amar Bank,https://id.linkedin.com/jobs/view/data-analyst-at-amar-bank-3834486267?position=40&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=4EAtcjX7p6iRBr731JacnQ%3D%3D
Customer Relationship Management Analyst,"Jakarta, Jakarta, Indonesia",PT Astra Digital Arta (AstraPay),https://id.linkedin.com/jobs/view/customer-relationship-management-analyst-at-pt-astra-digital-arta-astrapay-4027446920?position=41&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=rXCyDaQFWOItADBCoX6d%2BA%3D%3D
Distribution Development Analyst,"South Jakarta, Jakarta, Indonesia",Coca-Cola Europacific Partners,https://id.linkedin.com/jobs/view/distribution-development-analyst-at-coca-cola-europacific-partners-4015430186?position=42&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=%2FyPFfdiDMo%2B4SS%2BxYlAQgg%3D%3D
Data Analyst,"Jakarta, Indonesia",ASTRO,https://id.linkedin.com/jobs/view/data-analyst-at-astro-4002197158?position=43&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=uGRQHrHexkDrC%2BnLy75zKw%3D%3D
Business Intelligence Specialist,"East Jakarta, Jakarta, Indonesia",Wings Group Indonesia (Sayap Mas Utama),https://id.linkedin.com/jobs/view/business-intelligence-specialist-at-wings-group-indonesia-sayap-mas-utama-3906632231?position=44&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=sS%2BOl4093naNmYAOA0YHWA%3D%3D
"Data Analyst, Tokopedia","Jakarta, Jakarta, Indonesia",ByteDance,https://id.linkedin.com/jobs/view/data-analyst-tokopedia-at-bytedance-4033266264?position=45&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=PJMW1XGlbBR6TVgD%2F2mvfg%3D%3D
"AVP-Reporting, Budgeting & Governance","Jakarta, Indonesia",PT. Indosat Tbk,https://id.linkedin.com/jobs/view/avp-reporting-budgeting-governance-at-pt-indosat-tbk-4031877444?position=46&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=YYy%2FEQD2ul5EmtahEA8Rbw%3D%3D
Strategic Project Monitoring,"Tangerang, Banten, Indonesia",PT Alam Sutera Realty Tbk.,https://id.linkedin.com/jobs/view/strategic-project-monitoring-at-pt-alam-sutera-realty-tbk-4024047019?position=47&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=DWpF18JJmllWJusDscslYg%3D%3D
Business Relationship Officer (Jakarta),Jakarta Metropolitan Area,"PT Bank Danamon Indonesia, Tbk.",https://id.linkedin.com/jobs/view/business-relationship-officer-jakarta-at-pt-bank-danamon-indonesia-tbk-3985650039?position=48&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=nUzrM%2BBgRRJZZwHdW8C2bw%3D%3D
Supervisor Sales Retail,Jakarta Metropolitan Area,PT. Tiki Jalur Nugraha Ekakurir (JNE),https://id.linkedin.com/jobs/view/supervisor-sales-retail-at-pt-tiki-jalur-nugraha-ekakurir-jne-4035008098?position=49&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=T069CdyUOj6%2FUdlvqTDNeQ%3D%3D
Business Analytics Supervisor,Jakarta Metropolitan Area,Danone,https://id.linkedin.com/jobs/view/business-analytics-supervisor-at-danone-4011493158?position=50&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=yYnZgldanBOmV0k5Mdf%2F6Q%3D%3D
Data Science Specialist,"Jakarta, Indonesia",PT. Mowilex,https://id.linkedin.com/jobs/view/data-science-specialist-at-pt-mowilex-4027846203?position=51&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=MA1CldqHkpESckj9eh3u4g%3D%3D
Business Analyst,"Jakarta, Indonesia",FICO,https://id.linkedin.com/jobs/view/business-analyst-at-fico-4032307448?position=52&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=swvPxRaMLsvIQqsH%2Bdd4kA%3D%3D
Commercial / Corporate Credit Analyst,"Jakarta, Indonesia","PT Bank Danamon Indonesia, Tbk.",https://id.linkedin.com/jobs/view/commercial-corporate-credit-analyst-at-pt-bank-danamon-indonesia-tbk-4021735430?position=53&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=JaU0XQxUVWWt4xBAibAc5w%3D%3D
Gojek - Growth Analyst,"Jakarta, Jakarta, Indonesia",GoTo Group,https://id.linkedin.com/jobs/view/gojek-growth-analyst-at-goto-group-3999027689?position=54&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=NUl2pOQDWgRdFDSaHviMxQ%3D%3D
Executive Marketing,Jakarta Metropolitan Area,PUMA Group,https://id.linkedin.com/jobs/view/executive-marketing-at-puma-group-4034288741?position=55&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=r%2FWsAYUoTLeEWm8VvQMtzw%3D%3D
STUDENTS ONLY! 2025 On The Job Training program,"Jakarta, Jakarta, Indonesia",Mövenpick Hotel Jakarta City Centre,https://id.linkedin.com/jobs/view/students-only%21-2025-on-the-job-training-program-at-m%C3%B6venpick-hotel-jakarta-city-centre-4029879817?position=56&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=I5i7WpzrpNQgiu6hFBkbpw%3D%3D
Commercial Data Analyst,"Tangerang, Banten, Indonesia",PT. Softex Indonesia,https://id.linkedin.com/jobs/view/commercial-data-analyst-at-pt-softex-indonesia-4030630430?position=57&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=oaIXO64OQqjcBZpOhKfurg%3D%3D
Business Process Improvement Analyst,"West Jakarta, Jakarta, Indonesia",Kawan Lama Group,https://id.linkedin.com/jobs/view/business-process-improvement-analyst-at-kawan-lama-group-4033676754?position=58&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=ce79aneC%2FBeK4f%2Fv0la2Ag%3D%3D
"Business Analyst/Associate Consultant, Indonesia","Jakarta, Jakarta, Indonesia",Boston Consulting Group (BCG),https://id.linkedin.com/jobs/view/business-analyst-associate-consultant-indonesia-at-boston-consulting-group-bcg-4023898636?position=59&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=K8uLe9ElOE8hJ2edXZiQuQ%3D%3D
Product Analyst - Product Operations,Jakarta Metropolitan Area,Traveloka,https://id.linkedin.com/jobs/view/product-analyst-product-operations-at-traveloka-4022027974?position=60&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=NWgnBtZSipDObhcFoeGrfA%3D%3D
