jobname,location,company,jobLink
Business Process Analyst,"West Jakarta, Jakarta, Indonesia",Dekoruma,https://id.linkedin.com/jobs/view/business-process-analyst-at-dekoruma-4016869544?position=29&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=PJK3C1KRs%2BZ7A5AIws%2FMbw%3D%3D
Data Operations Analyst,"Jakarta, Indonesia",Igloo,https://id.linkedin.com/jobs/view/data-operations-analyst-at-igloo-4026913597?position=30&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=%2Bii5GZoHzvrnxtopYNqW%2BA%3D%3D
Consumer Relationship Officer (Jakarta),"Jakarta, Indonesia","PT Bank Danamon Indonesia, Tbk.",https://id.linkedin.com/jobs/view/consumer-relationship-officer-jakarta-at-pt-bank-danamon-indonesia-tbk-4033841652?position=31&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=duzfXfWj8Igh1GJLZrEOkA%3D%3D
Business Analyst,Jakarta Metropolitan Area,Traveloka,https://id.linkedin.com/jobs/view/business-analyst-at-traveloka-4025158530?position=32&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=80G57GWSm9B0hY9pLqvUFQ%3D%3D
Junior Data Analyst,"Jakarta, Jakarta, Indonesia",Amar Bank,https://id.linkedin.com/jobs/view/junior-data-analyst-at-amar-bank-3861732904?position=33&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=YaNcwY0aJi%2BC84j6aGvePA%3D%3D
Management Reporting Specialist,"Jakarta, Indonesia",OCBC Indonesia,https://id.linkedin.com/jobs/view/management-reporting-specialist-at-ocbc-indonesia-4028085747?position=34&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=J6LVEiCsZjd1NturAc6eCw%3D%3D
Product Analyst,"Jakarta, Jakarta, Indonesia",Astra Financial,https://id.linkedin.com/jobs/view/product-analyst-at-astra-financial-4026518745?position=35&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=tOoIamK5hs8%2B2vgmthUEPQ%3D%3D
Investment Analyst,"Jakarta, Jakarta, Indonesia",PT Lion Super Indo,https://id.linkedin.com/jobs/view/investment-analyst-at-pt-lion-super-indo-4025871712?position=36&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=%2BluM%2FntBDHZso8yrVQKlIg%3D%3D
Data Scientist,"Tangerang, Banten, Indonesia",OCBC Indonesia,https://id.linkedin.com/jobs/view/data-scientist-at-ocbc-indonesia-4032857689?position=37&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=fM6I34Kxil5W5JOca3tOpA%3D%3D
Executive Marketing,Jakarta Metropolitan Area,PUMA Group,https://id.linkedin.com/jobs/view/executive-marketing-at-puma-group-4034288741?position=38&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=kQ6mIptdvYSLwB%2BNtBG2VA%3D%3D
Data Analyst,"Jakarta, Jakarta, Indonesia",Amar Bank,https://id.linkedin.com/jobs/view/data-analyst-at-amar-bank-3834486267?position=39&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=rhGntyo4UMvVROOXk1zlqQ%3D%3D
Customer Relationship Management Analyst,"Jakarta, Jakarta, Indonesia",PT Astra Digital Arta (AstraPay),https://id.linkedin.com/jobs/view/customer-relationship-management-analyst-at-pt-astra-digital-arta-astrapay-4027446920?position=40&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=ddH4kc1%2B%2B5BHHHmf8zBerQ%3D%3D
Distribution Development Analyst,"South Jakarta, Jakarta, Indonesia",Coca-Cola Europacific Partners,https://id.linkedin.com/jobs/view/distribution-development-analyst-at-coca-cola-europacific-partners-4015430186?position=41&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=APtUbB3cY%2FQZ5IhvtlbwVA%3D%3D
Data Analyst,"Jakarta, Indonesia",ASTRO,https://id.linkedin.com/jobs/view/data-analyst-at-astro-4002197158?position=42&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=0%2FNG4mpMcIfznAgDN4yNeg%3D%3D
Business Intelligence Specialist,"East Jakarta, Jakarta, Indonesia",Wings Group Indonesia (Sayap Mas Utama),https://id.linkedin.com/jobs/view/business-intelligence-specialist-at-wings-group-indonesia-sayap-mas-utama-3906632231?position=43&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=je77pogte%2FeYWC%2FgEa5eZw%3D%3D
Leadership Acceleration Program (LEAP) 2025,"Jakarta, Indonesia",Great Giant Foods,https://id.linkedin.com/jobs/view/leadership-acceleration-program-leap-2025-at-great-giant-foods-4025782836?position=44&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=c1WppKzRQeuNABVz%2BRRRzQ%3D%3D
"Data Analyst, Tokopedia","Jakarta, Jakarta, Indonesia",ByteDance,https://id.linkedin.com/jobs/view/data-analyst-tokopedia-at-bytedance-4033266264?position=45&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=x3s5LrptMtj4Y2hQPH5Pnw%3D%3D
